Código;Programa;Instituição de Ensino;Área de Avaliação;Área Básica;Situação;Modalidade;ME;DO;MP;DP
32002017043P8; Matemática;UNIVERSIDADE FEDERAL DE VIÇOSA;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          ;MATEMÁTICA;DESATIVADO ;ACADÊMICO;-;-;-;-
22003010002P8;ADMINISTRAÇÃO;UNIVERSIDADE ESTADUAL DO CEARÁ;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;ADMINISTRAÇÃO PÚBLICA;DESATIVADO ;ACADÊMICO;-;-;-;-
26001012004P9;ADMINISTRAÇÃO;UNIVERSIDADE FEDERAL DE ALAGOAS;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;ADMINISTRAÇÃO;DESATIVADO ;ACADÊMICO;-;-;-;-
32008015010P0;ADMINISTRAÇÃO;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;ADMINISTRAÇÃO;DESATIVADO ;PROFISSIONAL;-;-;-;-
32071019001P0;ADMINISTRAÇÃO;CENTRO UNIVERSITARIO DO LESTE DE MINAS GERAIS;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;ADMINISTRAÇÃO;DESATIVADO ;PROFISSIONAL;-;-;-;-
33017018005P5;ADMINISTRAÇÃO;UNIVERSIDADE METODISTA DE SÃO PAULO;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;ADMINISTRAÇÃO;DESATIVADO ;ACADÊMICO;-;-;-;-
33020019002P3;ADMINISTRAÇÃO;UNIVERSIDADE CATÓLICA DE SANTOS;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;ADMINISTRAÇÃO;DESATIVADO ;ACADÊMICO;-;-;-;-
33028010001P1;ADMINISTRAÇÃO;CENTRO UNIVERSITÁRIO SÃO CAMILO;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;ADMINISTRAÇÃO;DESATIVADO ;ACADÊMICO;-;-;-;-
33052018004P4;ADMINISTRAÇÃO;UNIVERSIDADE CIDADE DE SÃO PAULO;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;ADMINISTRAÇÃO;DESATIVADO ;PROFISSIONAL;-;-;-;-
33099014001P7;ADMINISTRAÇÃO;CENTRO UNIVERSITÁRIO MUNICIPAL DE FRANCA;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;ADMINISTRAÇÃO;DESATIVADO ;ACADÊMICO;-;-;-;-
33017018008P4;ADMINISTRAÇÃO;UNIVERSIDADE METODISTA DE SÃO PAULO;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;ADMINISTRAÇÃO;DESATIVADO ;ACADÊMICO;-;-;-;-
33131015002P9;ADMINISTRAÇÃO;CENTRO UNIVERSITÁRIO SALESIANO DE SÃO PAULO;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;ADMINISTRAÇÃO;DESATIVADO ;ACADÊMICO;-;-;-;-
33092010003P9;ADMINISTRAÇÃO;UNIVERSIDADE NOVE DE JULHO;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;ADMINISTRAÇÃO;DESATIVADO ;ACADÊMICO;-;-;-;-
30007011002P6;ADMINISTRAÇÃO;FUCAPE FUNDACAO DE PESQUISA E ENSINO;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;ADMINISTRAÇÃO DE EMPRESAS;DESATIVADO ;PROFISSIONAL;-;-;-;-
53017013002P2;ADMINISTRAÇÃO;CENTRO UNIVERSITÁRIO EURO-AMERICANO;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;ADMINISTRAÇÃO DE EMPRESAS;DESATIVADO ;ACADÊMICO;-;-;-;-
28001010074P6;ADMINISTRAÇÃO;UNIVERSIDADE FEDERAL DA BAHIA;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;ADMINISTRAÇÃO PÚBLICA;DESATIVADO ;ACADÊMICO;-;-;-;-
33146012001P6;ADMINISTRAÇÃO;FACULDADE FIA DE ADMINISTRAÇÃO E NEGÓCIOS;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;ADMINISTRAÇÃO DE EMPRESAS;DESATIVADO ;PROFISSIONAL;-;-;-;-
31002013030P0;ADMINISTRAÇÃO;UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;ADMINISTRAÇÃO;DESATIVADO ;ACADÊMICO;-;-;-;-
33142017004P0;ADMINISTRAÇÃO;CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;ADMINISTRAÇÃO;DESATIVADO ;ACADÊMICO;-;-;-;-
23004010006P2;ADMINISTRAÇÃO;UNIVERSIDADE POTIGUAR;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;ADMINISTRAÇÃO;DESATIVADO ;ACADÊMICO;-;-;-;-
33009015054P7;ADMINISTRAÇÃO DA PRÁTICA OFTALMOLÓGICA;UNIVERSIDADE FEDERAL DE SÃO PAULO;INTERDISCIPLINAR                                  ;INTERDISCIPLINAR;DESATIVADO ;PROFISSIONAL;-;-;-;-
22001018045P6;ADMINISTRAÇÃO DE EMPRESAS;UNIVERSIDADE FEDERAL DO CEARÁ;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;ADMINISTRAÇÃO;DESATIVADO ;PROFISSIONAL;-;-;-;-
33096015002P4;ADMINISTRAÇÃO DE EMPRESAS;CENTRO UNIVERSITÁRIO FECAP                                  ;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;ADMINISTRAÇÃO;DESATIVADO ;ACADÊMICO;-;-;-;-
31011012016P3;ADMINISTRAÇÃO DE NEGÓCIOS;FUNDAÇÃO GETÚLIO VARGAS (SP);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;ADMINISTRAÇÃO;DESATIVADO ;PROFISSIONAL;-;-;-;-
31011012016P3;ADMINISTRAÇÃO DE NEGÓCIOS;FUNDAÇÃO GETÚLIO VARGAS ( RJ );ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;ADMINISTRAÇÃO;DESATIVADO ;PROFISSIONAL;-;-;-;-
42005019028P6;ADMINISTRAÇÃO E NEGÓCIOS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;ADMINISTRAÇÃO;DESATIVADO ;PROFISSIONAL;-;-;-;-
42005019033P0;ADMINISTRAÇÃO E NEGÓCIOS - PUC-RS - UCS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;ADMINISTRAÇÃO;DESATIVADO ;ACADÊMICO;-;-;-;-
42005019033P0;ADMINISTRAÇÃO E NEGÓCIOS - PUC-RS - UCS;UNIVERSIDADE DE CAXIAS DO SUL;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;ADMINISTRAÇÃO;DESATIVADO ;ACADÊMICO;-;-;-;-
25003011004P9;ADMINISTRAÇÃO RURAL E COMUNICAÇÃO RURAL;UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO;INTERDISCIPLINAR                                  ;INTERDISCIPLINAR;DESATIVADO ;ACADÊMICO;-;-;-;-
40004015017P2;ADMINISTRAÇÃO UEM-UEL;UNIVERSIDADE ESTADUAL DE LONDRINA;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;ADMINISTRAÇÃO;DESATIVADO ;ACADÊMICO;-;-;-;-
40004015017P2;ADMINISTRAÇÃO UEM-UEL;UNIVERSIDADE ESTADUAL DE MARINGÁ;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;ADMINISTRAÇÃO;DESATIVADO ;ACADÊMICO;-;-;-;-
33107017005P0;ADOLESCENTE EM CONFLITO COM A LEI;UNIVERSIDADE ANHANGUERA DE SÃO PAULO;INTERDISCIPLINAR                                  ;SOCIAIS E HUMANIDADES;DESATIVADO ;PROFISSIONAL;-;-;-;-
40075010001P1;Agricultura Conservacionista;INSTITUTO AGRONÔMICO DO PARANÁ;CIÊNCIAS AGRÁRIAS I                               ;AGRONOMIA;DESATIVADO ;ACADÊMICO;-;-;-;-
15001016025P5;AGRICULTURAS AMAZÔNICAS;UNIVERSIDADE FEDERAL DO PARÁ;CIÊNCIAS AGRÁRIAS I                               ;AGRONOMIA;DESATIVADO ;ACADÊMICO;-;-;-;-
27001016012P4;AGROECOSSISTEMAS;FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE;CIÊNCIAS AGRÁRIAS I                               ;AGRONOMIA;DESATIVADO ;ACADÊMICO;-;-;-;-
41001010068P3;AGROECOSSISTEMAS;UNIVERSIDADE FEDERAL DE SANTA CATARINA;CIÊNCIAS AMBIENTAIS;CIÊNCIAS AMBIENTAIS;DESATIVADO ;PROFISSIONAL;-;-;-;-
51001012016P8;AGRONEGÓCIOS;UNIVERSIDADE FEDERAL DE GOIÁS;INTERDISCIPLINAR                                  ;MEIO AMBIENTE E AGRÁRIAS;DESATIVADO ;ACADÊMICO;-;-;-;-
51001012016P8;AGRONEGÓCIOS;FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;INTERDISCIPLINAR                                  ;MEIO AMBIENTE E AGRÁRIAS;DESATIVADO ;ACADÊMICO;-;-;-;-
42001013090P8;AGRONEGÓCIOS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;INTERDISCIPLINAR                                  ;MEIO AMBIENTE E AGRÁRIAS;DESATIVADO ;PROFISSIONAL;-;-;-;-
