Código;Programa;Instituição de Ensino;Área de Avaliação;Área Básica;Situação;Modalidade;ME;DO;MP;DP
32064012001P7;ADMINISTRAÇÃO;FACULDADE DE ESTUDOS ADMINISTRATIVOS DE MINAS GERAIS        ;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;ADMINISTRAÇÃO;EM DESATIVACAO;PROFISSIONAL;-;-;2;-
32037015003P3;ADMINISTRAÇÃO;CENTRO UNIVERSITARIO UNA;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;ADMINISTRAÇÃO;EM DESATIVACAO;PROFISSIONAL;-;-;3;-
33149011003P8;ADMINISTRAÇÃO DAS MICRO E PEQUENAS EMPRESAS;CENTRO UNIVERSITÁRIO CAMPO LIMPO PAULISTA;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;ADMINISTRAÇÃO DE EMPRESAS;EM DESATIVACAO;PROFISSIONAL;-;-;-;4
33128014001P5;Agronegócio;ESCOLA DE ECONOMIA DE SÃO PAULO;CIÊNCIAS AGRÁRIAS I                               ;AGRONOMIA;EM DESATIVACAO;PROFISSIONAL;-;-;4;-
21001014018P6;AGRONOMIA - SOLOS E NUTRIÇÃO DE PLANTAS;FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ;CIÊNCIAS AGRÁRIAS I                               ;CIÊNCIA DO SOLO;EM DESATIVACAO;ACADÊMICO;3;-;-;-
33004064021P7;AGRONOMIA (ENERGIA NA AGRICULTURA);UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO ( BOTUCATU );CIÊNCIAS AGRÁRIAS I                               ;AGRONOMIA;EM DESATIVACAO;ACADÊMICO;4;4;-;-
52001016033P2;AGRONOMIA (Produção Vegetal);UNIVERSIDADE FEDERAL DE GOIÁS;CIÊNCIAS AGRÁRIAS I                               ;AGRONOMIA;EM DESATIVACAO;ACADÊMICO;3;-;-;-
33004030055P6;ALIMENTOS E NUTRIÇÃO;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO ( ARARAQUARA );CIÊNCIA DE ALIMENTOS                              ;CIÊNCIA E TECNOLOGIA DE ALIMENTOS;EM DESATIVACAO;ACADÊMICO;4;4;-;-
33020019007P5;ARQUITETURA E URBANISMO;UNIVERSIDADE CATÓLICA DE SANTOS;ARQUITETURA, URBANISMO E DESIGN;ARQUITETURA E URBANISMO;EM DESATIVACAO;PROFISSIONAL;-;-;A;-
42043018004P4;Arquitetura e Urbanismo;CENTRO UNIVERSITÁRIO RITTER DOS REIS;ARQUITETURA, URBANISMO E DESIGN;ARQUITETURA E URBANISMO;EM DESATIVACAO;ACADÊMICO;4;-;-;-
21001014033P5;Artes, Patrimônio e Museologia;FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ;COMUNICAÇÃO E INFORMAÇÃO;MUSEOLOGIA;EM DESATIVACAO;PROFISSIONAL;-;-;3;-
42002010162P9;ARTES VISUAIS;UNIVERSIDADE FEDERAL DE SANTA MARIA;ARTES;ARTES;EM DESATIVACAO;ACADÊMICO;-;A;-;-
33078017008P1;ASTROFÍSICA E FÍSICA COMPUTACIONAL;UNIVERSIDADE CRUZEIRO DO SUL;ASTRONOMIA / FÍSICA                               ;ASTRONOMIA;EM DESATIVACAO;ACADÊMICO;4;-;-;-
33084017001P3;AUTOMAÇÃO E CONTROLE DE PROCESSOS;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO;ENGENHARIAS III                                   ;ENGENHARIA MECÂNICA;EM DESATIVACAO;PROFISSIONAL;-;-;2;-
52001016105P3;BIOCIÊNCIA ANIMAL;UNIVERSIDADE FEDERAL DE GOIÁS;MEDICINA VETERINÁRIA                              ;MEDICINA VETERINÁRIA;EM DESATIVACAO;ACADÊMICO;4;-;-;-
42042011002P5;Biociências e Reabilitação;CENTRO UNIVERSITÁRIO METODISTA IPA;INTERDISCIPLINAR                                  ;SAÚDE E BIOLÓGICAS;EM DESATIVACAO;ACADÊMICO;4;-;-;-
52001016054P0;Biodiversidade Vegetal;UNIVERSIDADE FEDERAL DE GOIÁS;BIODIVERSIDADE;BOTÂNICA;EM DESATIVACAO;ACADÊMICO;2;-;-;-
33051011004P8;BIOENGENHARIA;UNIVERSIDADE DO VALE DO PARAÍBA;ENGENHARIAS IV                                    ;ENGENHARIA BIOMÉDICA;EM DESATIVACAO;PROFISSIONAL;-;-;3;-
32073011004P1;BIOÉTICA;UNIVERSIDADE DO VALE DO SAPUCAI;INTERDISCIPLINAR                                  ;SAÚDE E BIOLÓGICAS;EM DESATIVACAO;ACADÊMICO;3;-;-;-
33003017040P8;BIOLOGIA FUNCIONAL E MOLECULAR;UNIVERSIDADE ESTADUAL DE CAMPINAS;CIÊNCIAS BIOLÓGICAS II                            ;BIOQUÍMICA;EM DESATIVACAO;ACADÊMICO;6;6;-;-
33067015003P1;BIOLOGIA ORAL;CENTRO UNIVERSITÁRIO SAGRADO CORAÇÃO;ODONTOLOGIA                                       ;ODONTOLOGIA;EM DESATIVACAO;ACADÊMICO;4;4;-;-
33004145081P0;BIOPATOLOGIA BUCAL;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO ( SÃO JOSÉ DOS CAMPOS );ODONTOLOGIA                                       ;ODONTOLOGIA;EM DESATIVACAO;ACADÊMICO;5;5;-;-
