Código;Programa;Instituição de Ensino;Área de Avaliação;Área Básica;Situação;Modalidade;ME;DO;MP;DP
51003015002P0; AGRONEGÓCIO SUSTENTÁVEL ;UNIVERSIDADE ANHANGUERA;CIÊNCIAS AGRÁRIAS I                               ;AGRONOMIA;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
21003017002P5; ANÁLISE E PLANEJAMENTO ESPACIAL ;INSTITUTO FEDERAL DE EDUCAÇÃO, CIENCIA E TECNOLOGIA DO PIAUÍ;GEOGRAFIA                                         ;GEOGRAFIA;EM FUNCIONAMENTO;PROFISSIONAL;-;-;A;-
26001012082P0; ANTROPOLOGIA SOCIAL;UNIVERSIDADE FEDERAL DE ALAGOAS;ANTROPOLOGIA / ARQUEOLOGIA                        ;ANTROPOLOGIA;EM FUNCIONAMENTO;ACADÊMICO;3;-;-;-
13001019039P0; ANTROPOLOGIA SOCIAL;FUNDAÇÃO UNIVERSIDADE FEDERAL DE RORAIMA;ANTROPOLOGIA / ARQUEOLOGIA                        ;ANTROPOLOGIA;EM FUNCIONAMENTO;ACADÊMICO;3;-;-;-
15001016160P0; ASSISTÊNCIA FARMACÊUTICA;UNIVERSIDADE FEDERAL DO PARÁ;FARMÁCIA                                          ;FARMÁCIA;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
33001014042P8; Biotecnologia e Monitoramento Ambiental;UNIVERSIDADE FEDERAL DE SÃO CARLOS;BIOTECNOLOGIA                                     ;BIOTECNOLOGIA;EM FUNCIONAMENTO;ACADÊMICO;4;4;-;-
50005014001P3; Ciência e Tecnologia de Alimentos;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE MATO GROSSO;CIÊNCIA DE ALIMENTOS                              ;CIÊNCIA DE ALIMENTOS;EM FUNCIONAMENTO;ACADÊMICO;3;-;-;-
23009004004P6; CIÊNCIAS ODONTOLÓGICAS;CENTRO UNIVERSITÁRIO CHRISTUS;ODONTOLOGIA                                       ;ODONTOLOGIA;EM FUNCIONAMENTO;ACADÊMICO;3;-;-;-
23022000001P6; CLÍNICA ODONTOLÓGICA ;FACULDADE PAULO PICANÇO;ODONTOLOGIA                                       ;CLÍNICA ODONTOLÓGICA;EM FUNCIONAMENTO;PROFISSIONAL;-;-;A;-
42001021001P0; DINÂMICAS REGIONAIS E DESENVOLVIMENTO;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL - LITORAL;PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ;PLANEJAMENTO URBANO E REGIONAL;EM FUNCIONAMENTO;ACADÊMICO;A;-;-;-
15006018009P1; EDUCAÇÃO ESCOLAR INDÍGENA;UNIVERSIDADE FEDERAL DO PARÁ;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;A;-
15006018009P1; EDUCAÇÃO ESCOLAR INDÍGENA;UNIVERSIDADE DO ESTADO DO PARÁ;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;A;-
15006018009P1; EDUCAÇÃO ESCOLAR INDÍGENA;UNIVERSIDADE FEDERAL DO OESTE DO PARÁ;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;A;-
15006018009P1; EDUCAÇÃO ESCOLAR INDÍGENA;UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;A;-
22011013003P3; ENFERMAGEM;UNIVERSIDADE DA INTEGRAÇÃO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA;ENFERMAGEM                                        ;ENFERMAGEM;EM FUNCIONAMENTO;ACADÊMICO;3;-;-;-
32003013042P8; ENGENHARIA HÍDRICA  ;UNIVERSIDADE FEDERAL DE ITAJUBÁ;ENGENHARIAS I                                     ;RECURSOS HÍDRICOS;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
