Código;Programa;Instituição de Ensino;Área de Avaliação;Área Básica;Situação;Modalidade;ME;DO;MP;DP
32020015012P6;AUTOMAÇÃO E SISTEMAS;CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS;ENGENHARIAS IV                                    ;AUTOMAÇÃO ELETRÔNICA DE PROCESSOS ELÉTRICOS E INDUSTRIAIS;EM PROJETO;PROFISSIONAL;-;-;A;-
42005019035P2;BIOTECNOLOGIA;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;BIOTECNOLOGIA                                     ;BIOTECNOLOGIA;EM PROJETO;ACADÊMICO;A;A;-;-
33002010230P5;Cuidado e Gestão em Pesquisa Clínica em Oncologia;UNIVERSIDADE DE SÃO PAULO;MEDICINA I                                        ;CANCEROLOGIA;EM PROJETO;PROFISSIONAL;-;-;3;-
32116012001P8;Desenvolvimento e Controle de Produtos Biofarmacêuticos;CENTRO UNIVERSITÁRIO NEWTON PAIVA                           ;FARMÁCIA                                          ;FARMÁCIA;EM PROJETO;PROFISSIONAL;-;-;3;-
31003010175P9;ECONOMIA, NEGÓCIOS E FINANÇAS;UNIVERSIDADE FEDERAL FLUMINENSE;ECONOMIA                                          ;ECONOMIA GERAL;EM PROJETO;PROFISSIONAL;-;-;A;-
33142017005P6;ENGENHARIA DE SANEAMENTO AMBIENTAL;CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS;ENGENHARIAS I                                     ;ENGENHARIA SANITÁRIA;EM PROJETO;ACADÊMICO;3;-;-;-
53001010104P3;Ensino na Saúde;UNIVERSIDADE DE BRASÍLIA;ENSINO;ENSINO;EM PROJETO;ACADÊMICO;3;-;-;-
25001019096P8;GESTÃO DE RISCOS E DESASTRES NATURAIS;UNIVERSIDADE FEDERAL DE PERNAMBUCO;CIÊNCIAS AMBIENTAIS;CIÊNCIAS AMBIENTAIS;EM PROJETO;PROFISSIONAL;-;-;4;-
33063010007P5;PRÁTICAS INSTITUCIONAIS EM SAÚDE MENTAL;UNIVERSIDADE PAULISTA;PSICOLOGIA                                        ;TRATAMENTO E PREVENÇÃO PSICOLÓGICA;EM PROJETO;PROFISSIONAL;-;-;A;-
42037018004P8;PRODUÇÃO E AMBIENTE;UNIVERSIDADE DE CRUZ ALTA;INTERDISCIPLINAR                                  ;MEIO AMBIENTE E AGRÁRIAS;EM PROJETO;ACADÊMICO;A;-;-;-
31010016032P2;Saúde, Sociedade e Endemias na Amazônia;FUNDACAO OSWALDO CRUZ (FIOCRUZ);INTERDISCIPLINAR                                  ;SAÚDE E BIOLÓGICAS;EM PROJETO;ACADÊMICO;4;4;-;-
27001016178P0;SEGURANÇA, SOCIEDADE E POLÍTICAS PÚBLICAS;FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE;CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ;CIÊNCIA POLÍTICA;EM PROJETO;PROFISSIONAL;-;-;A;-
25044010001P7;SOCIEDADE E INCLUSÃO SOCIAL;FACULDADE INTEGRADA DE PERNAMBUCO;INTERDISCIPLINAR                                  ;SOCIAIS E HUMANIDADES;EM PROJETO;ACADÊMICO;A;-;-;-
53003012012P0;TECNOLOGIAS AMBIENTAIS;UNIVERSIDADE CATÓLICA DE BRASÍLIA;CIÊNCIAS AMBIENTAIS;CIÊNCIAS AMBIENTAIS;EM PROJETO;PROFISSIONAL;-;-;3;-
